地域コード,地域,地区,地区,年次,総数(戸),構成比(パーセント),専業農家(戸),専業農家構成(パーセント),兼業農家(戸),兼業農家構成(パーセント),第1種兼業農家(戸),第1種兼業農家構成(パーセント),第2種兼業農家(戸),第2種兼業農家構成(パーセント),,
00000,全国,全域,全域,2015(平成27),"1,329,591",100.0,"293,928",22.1,"1,035,663",77.9,"257,041",24.8,"778,622",75.2,,
02000∼07000,東北,全域,全域,2015(平成27),"240,088",100.0,"54,608",22.7,"185,480",77.3,"59,626",32.1,"125,854",67.9,,
05000,秋田県,県全域,全域,2015(平成27),"37,810",100.0,"7,739",20.5,"30,071",79.5,"9,590",31.9,"20,481",68.1,,
052124,大仙市,市全域,全域,1975(昭和50),"13,937",100.0,488,3.5,"13,449",96.5,"6,691",49.8,"6,758",50.2,,
052124,大仙市,市全域,全域,1980(昭和55),"13,604",100.0,562,4.1,"13,042",95.9,"5,615",43.1,"7,427",56.9,,
052124,大仙市,市全域,全域,1985(昭和60),"13,038",100.0,621,4.8,"12,417",95.2,"4,664",37.6,"7,753",62.4,,
052124,大仙市,市全域,全域,1990(平成2),"12,242",100.0,686,5.6,"11,556",94.4,"2,976",25.8,"8,580",74.2,,
052124,大仙市,市全域,全域,1995(平成7),"11,420",100.0,701,6.1,"10,719",93.9,"2,968",27.7,"7,751",72.3,,
052124,大仙市,市全域,全域,2000(平成12),"9,524",100.0,700,7.3,"8,824",92.7,"1,896",21.5,"6,928",78.5,,
052124,大仙市,市全域,全域,2005(平成17),"8,469",100.0,878,10.4,"7,591",89.6,"1,550",20.4,"6,041",79.6,,
052124,大仙市,市全域,全域,2010(平成22),"6,333",100.0,990,15.6,"5,343",84.4,"1,179",22.1,"4,164",77.9,,
052124,大仙市,市全域,全域,2015(平成27),"5,118",100.0,"1,084",21.2,"4,034",78.8,856,21.2,"3,178",78.8,,
052124,大仙市,大曲地域,全域,1975(昭和50),3443,24.7,116,96.6,3327,49.8,1471,44.2,1856,55.8,,
052124,大仙市,大曲地域,全域,1980(昭和55),3366,24.7,138,95.9,3228,43.1,1103,34.2,2125,65.8,,
052124,大仙市,大曲地域,全域,1985(昭和60),3247,24.9,156,95.2,3091,37.6,949,30.7,2142,69.3,,
052124,大仙市,大曲地域,全域,1990(平成2),3105,25.4,209,93.3,2896,25.8,539,18.6,2357,81.4,,
052124,大仙市,大曲地域,全域,1995(平成7),2952,25.8,209,92.9,2743,27.7,533,19.4,2210,80.6,,
052124,大仙市,大曲地域,全域,2000(平成12),2420,25.4,199,91.8,2221,21.5,290,13.1,1931,86.9,,
052124,大仙市,大曲地域,全域,2005(平成17),2213,26.1,241,89.1,1972,20.4,299,15.2,1673,84.8,,
052124,大仙市,大曲地域,全域,2010(平成22),1636,25.8,247,84.9,1389,22.1,259,18.6,1130,81.4,,
052124,大仙市,大曲地域,全域,2015(平成27),1286,25.1,294,77.1,992,21.2,173,17.4,819,82.6,,
052124,大仙市,大曲地域,大曲,2015(平成27),173,3.4,49,28.3,124,71.7,20,16.1,104,83.9,,
052124,大仙市,大曲地域,花館,2015(平成27),163,3.2,46,28.2,117,71.8,28,23.9,89,76.1,,
052124,大仙市,大曲地域,内小友,2015(平成27),240,4.7,43,17.9,197,82.1,25,12.7,172,87.3,,
052124,大仙市,大曲地域,大川西根,2015(平成27),182,3.6,31,17.0,151,83.0,25,16.6,126,83.4,,
052124,大仙市,大曲地域,藤木,2015(平成27),187,3.7,38,20.3,149,79.7,19,12.8,130,87.2,,
052124,大仙市,大曲地域,四ツ屋,2015(平成27),267,5.2,65,24.3,202,75.7,50,24.8,152,75.2,,
052124,大仙市,大曲地域,角間川,2015(平成27),74,1.4,22,29.7,52,70.3,6,11.5,46,88.5,,
052124,大仙市,神岡地域,全域,1975(昭和50),913,6.6,35,3.8,878,96.2,421,47.9,457,52.1,,
052124,大仙市,神岡地域,全域,1980(昭和55),872,6.4,39,4.5,833,95.5,366,43.9,467,56.1,,
052124,大仙市,神岡地域,全域,1985(昭和60),846,6.5,39,4.6,807,95.4,309,38.3,498,61.7,,
052124,大仙市,神岡地域,全域,1990(平成2),763,6.2,52,6.8,711,93.2,201,28.3,510,71.7,,
052124,大仙市,神岡地域,全域,1995(平成7),701,6.1,60,8.6,641,91.4,203,31.7,438,68.3,,
052124,大仙市,神岡地域,全域,2000(平成12),593,6.2,53,8.9,540,91.1,111,20.6,429,79.4,,
052124,大仙市,神岡地域,全域,2005(平成17),527,6.2,62,11.8,465,88.2,71,15.3,394,84.7,,
052124,大仙市,神岡地域,全域,2010(平成22),446,7.0,75,16.8,371,83.2,80,21.6,291,78.4,,
052124,大仙市,神岡地域,全域,2015(平成27),352,6.9,79,22.4,273,77.6,47,17.2,226,82.8,,
052124,大仙市,神岡地域,神宮寺,2015(平成27),254,5.0,63,24.8,191,75.2,36,18.8,155,81.2,,
052124,大仙市,神岡地域,北楢岡,2015(平成27),98,1.9,16,16.3,82,83.7,11,13.4,71,86.6,,
052124,大仙市,西仙北地域,全域,1975(昭和50),"2,042",14.7,70,3.4,"1,972",96.6,"1,005",51.0,967,49.0,,
052124,大仙市,西仙北地域,全域,1980(昭和55),"1,976",14.5,82,4.1,"1,894",95.9,855,45.1,"1,039",54.9,,
052124,大仙市,西仙北地域,全域,1985(昭和60),"1,848",14.2,95,5.1,"1,753",94.9,676,38.6,"1,077",61.4,,
052124,大仙市,西仙北地域,全域,1990(平成2),"1,738",14.2,98,5.6,"1,640",94.4,486,29.6,"1,154",70.4,,
052124,大仙市,西仙北地域,全域,1995(平成7),"1,605",14.1,107,6.7,"1,498",93.3,452,30.2,"1,046",69.8,,
052124,大仙市,西仙北地域,全域,2000(平成12),"1,327",13.9,108,8.1,"1,219",91.9,280,23.0,939,77.0,,
052124,大仙市,西仙北地域,全域,2005(平成17),"1,162",13.7,139,12.0,"1,023",88.0,223,21.8,800,78.2,,
052124,大仙市,西仙北地域,全域,2010(平成22),831,13.1,150,18.1,681,81.9,133,19.5,548,80.5,,
052124,大仙市,西仙北地域,全域,2015(平成27),709,13.9,147,20.7,562,79.3,109,19.4,453,80.6,,
052124,大仙市,西仙北地域,刈和野,2015(平成27),34,0.7,6,17.6,28,82.4,5,17.9,23,82.1,,
052124,大仙市,西仙北地域,土川,2015(平成27),276,5.4,50,18.1,226,81.9,33,14.6,193,85.4,,
052124,大仙市,西仙北地域,大沢郷,2015(平成27),249,4.9,59,23.7,190,76.3,29,15.3,161,84.7,,
052124,大仙市,西仙北地域,強首,2015(平成27),150,2.9,32,21.3,118,78.7,42,35.6,76,64.4,,
052124,大仙市,中仙地域,全域,1975(昭和50),2164,15.5,58,2.7,2106,97.3,1180,56.0,926,44.0,,
052124,大仙市,中仙地域,全域,1980(昭和55),2127,15.6,101,4.7,2026,95.3,1023,50.5,1003,49.5,,
052124,大仙市,中仙地域,全域,1985(昭和60),2050,15.7,87,4.2,1963,95.8,878,44.7,1085,55.3,,
052124,大仙市,中仙地域,全域,1990(平成2),1930,15.8,84,4.4,1846,95.6,560,30.3,1286,69.7,,
052124,大仙市,中仙地域,全域,1995(平成7),1821,15.9,98,5.4,1723,94.6,636,36.9,1087,63.1,,
052124,大仙市,中仙地域,全域,2000(平成12),1554,16.3,98,6.3,1456,93.7,447,30.7,1009,69.3,,
052124,大仙市,中仙地域,全域,2005(平成17),1410,16.6,131,9.3,1279,90.7,317,24.8,962,75.2,,
052124,大仙市,中仙地域,全域,2010(平成22),999,15.8,137,13.7,862,86.3,221,25.6,641,74.4,,
052124,大仙市,中仙地域,全域,2015(平成27),826,16.1,155,18.8,671,81.2,175,26.1,496,73.9,,
052124,大仙市,中仙地域,長野,2015(平成27),261,5.1,40,15.3,221,84.7,45,20.4,176,79.6,,
052124,大仙市,中仙地域,清水,2015(平成27),206,4.0,35,17.0,171,83.0,49,28.7,122,71.3,,
052124,大仙市,中仙地域,豊川,2015(平成27),153,3.0,41,26.8,112,73.2,34,30.4,78,69.6,,
052124,大仙市,中仙地域,豊岡,2015(平成27),206,4.0,39,18.9,167,81.1,47,28.1,120,71.9,,
052124,大仙市,協和地域,全域,1975(昭和50),"1,485",10.7,53,3.6,"1,432",96.4,713,49.8,719,50.2,,
052124,大仙市,協和地域,全域,1980(昭和55),"1,431",10.5,55,3.8,"1,376",96.2,568,41.3,808,58.7,,
052124,大仙市,協和地域,全域,1985(昭和60),"1,348",10.3,74,5.5,"1,274",94.5,454,35.6,820,64.4,,
052124,大仙市,協和地域,全域,1990(平成2),"1,223",10.0,75,6.1,"1,148",93.9,211,18.4,937,81.6,,
052124,大仙市,協和地域,全域,1995(平成7),"1,107",9.7,62,5.6,"1,045",94.4,245,23.4,800,76.6,,
052124,大仙市,協和地域,全域,2000(平成12),886,9.3,59,6.7,827,93.3,144,17.4,683,82.6,,
052124,大仙市,協和地域,全域,2005(平成17),764,9.0,82,10.7,682,89.3,118,17.3,564,82.7,,
052124,大仙市,協和地域,全域,2010(平成22),531,8.4,91,17.1,440,82.9,79,18.0,361,82.0,,
052124,大仙市,協和地域,全域,2015(平成27),398,7.8,85,21.4,313,78.6,75,24.0,238,76.0,,
052124,大仙市,協和地域,荒川,2015(平成27),101,2.0,23,22.8,78,77.2,16,20.5,62,79.5,,
052124,大仙市,協和地域,峰吉川,2015(平成27),78,1.5,14,17.9,64,82.1,16,25.0,48,75.0,,
052124,大仙市,協和地域,淀川,2015(平成27),136,2.7,32,23.5,104,76.5,28,26.9,76,73.1,,
052124,大仙市,協和地域,船岡,2015(平成27),83,1.6,16,19.3,67,80.7,15,22.4,52,77.6,,
052124,大仙市,南外地域,全域,1975(昭和50),947,6.8,40,4.2,907,95.8,497,54.8,410,45.2,,
052124,大仙市,南外地域,全域,1980(昭和55),926,6.8,22,2.4,904,97.6,404,44.7,500,55.3,,
052124,大仙市,南外地域,全域,1985(昭和60),916,7.0,48,5.2,868,94.8,288,33.2,580,66.8,,
052124,大仙市,南外地域,全域,1990(平成2),868,7.1,39,4.5,829,95.5,167,20.1,662,79.9,,
052124,大仙市,南外地域,全域,1995(平成7),829,7.3,50,6.0,779,94.0,135,17.3,644,82.7,,
052124,大仙市,南外地域,全域,2000(平成12),686,7.2,38,5.5,648,94.5,106,16.4,542,83.6,,
052124,大仙市,南外地域,全域,2005(平成17),628,7.4,55,8.8,573,91.2,77,13.4,496,86.6,,
052124,大仙市,南外地域,全域,2010(平成22),482,7.6,56,11.6,426,88.4,74,17.4,352,82.6,,
052124,大仙市,南外地域,全域,2015(平成27),378,7.4,67,17.7,311,82.3,45,14.5,384,123.5,,
052124,大仙市,南外地域,外小友,2015(平成27),166,3.2,28,16.9,138,83.1,20,14.5,118,85.5,,
052124,大仙市,南外地域,南楢岡,2015(平成27),212,4.1,39,18.4,173,81.6,25,14.5,266,153.8,,
052124,大仙市,仙北地域,全域,1975(昭和50),"1,455",10.4,63,4.3,"1,392",95.7,511,36.7,881,63.3,,
052124,大仙市,仙北地域,全域,1980(昭和55),"1,435",10.5,59,4.1,"1,376",95.9,546,39.7,830,60.3,,
052124,大仙市,仙北地域,全域,1985(昭和60),"1,376",10.6,55,4.0,"1,321",96.0,437,33.1,884,66.9,,
052124,大仙市,仙北地域,全域,1990(平成2),"1,299",10.6,54,4.2,"1,245",95.8,295,23.7,950,76.3,,
052124,大仙市,仙北地域,全域,1995(平成7),"1,203",10.5,51,4.2,"1,152",95.8,303,26.3,849,73.7,,
052124,大仙市,仙北地域,全域,2000(平成12),"1,022",10.7,69,6.8,953,93.2,195,20.5,758,79.5,,
052124,大仙市,仙北地域,全域,2005(平成17),858,10.1,77,9.0,781,91.0,156,20.0,625,80.0,,
052124,大仙市,仙北地域,全域,2010(平成22),660,10.4,108,16.4,552,83.6,135,24.5,417,75.5,,
052124,大仙市,仙北地域,全域,2015(平成27),541,10.6,105,19.4,436,80.6,98,22.5,338,77.5,,
052124,大仙市,仙北地域,高梨,2015(平成27),238,4.7,44,18.5,194,81.5,47,24.2,147,75.8,,
052124,大仙市,仙北地域,横堀,2015(平成27),303,5.9,61,20.1,242,79.9,51,21.1,191,78.9,,
052124,大仙市,太田地域,全域,1975(昭和50),"1,488",10.7,53,3.6,"1,435",96.4,893,62.2,542,37.8,,
052124,大仙市,太田地域,全域,1980(昭和55),"1,471",10.8,66,4.5,"1,405",95.5,750,53.4,655,46.6,,
052124,大仙市,太田地域,全域,1985(昭和60),"1,407",10.8,67,4.8,"1,340",95.2,673,50.2,667,49.8,,
052124,大仙市,太田地域,全域,1990(平成2),"1,316",10.7,75,5.7,"1,241",94.3,517,41.7,724,58.3,,
052124,大仙市,太田地域,全域,1995(平成7),"1,202",10.5,64,5.3,"1,138",94.7,461,40.5,677,59.5,,
052124,大仙市,太田地域,全域,2000(平成12),"1,036",10.9,76,7.3,960,92.7,323,33.6,637,66.4,,
052124,大仙市,太田地域,全域,2005(平成17),907,10.7,91,10.0,816,90.0,289,35.4,527,64.6,,
052124,大仙市,太田地域,全域,2010(平成22),748,11.8,126,16.8,622,83.2,198,31.8,424,68.2,,
052124,大仙市,太田地域,全域,2015(平成27),628,12.3,152,24.2,476,75.8,134,28.2,342,71.8,,
052124,大仙市,太田地域,長信田,2015(平成27),318,6.2,78,24.5,240,75.5,74,30.8,166,69.2,,
052124,大仙市,太田地域,横沢,2015(平成27),310,6.1,74,23.9,236,76.1,60,25.4,176,74.6,,
