４５　主要スポーツ施設の利用状況（ Ⅳ ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,各年度間,,,,,
年度,河辺体育館,,,スポパークかわべ,,,,,,河辺岩見三内野球場,,,河辺和田野球場,,,河辺戸島野球場,,,北野田公園,,,,,,,,,,
,,,,グラウンドゴルフ場,,,サッカー場・多目的広場,,,,,,,,,,,,アリーナ,,,テニスコート,,,,,,,
,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,,,,,
,,総数,1日平均,,総数,1日平均,,総数,1日平均,,総数,1日平均,,総数,1日平均,,総数,1日平均,,総数,1日平均,,総数,1日平均,,,,,
平成24年度, 347 ," 20,295 ", 58 , 237 ," 12,213 ", 51 , 153 ," 1,420 ", 9 , 244 ," 1,786 ", 7 , 244 ," 3,608 ", 14 , 244 ," 4,715 ", 19 , 359 ," 16,012 ", 44 , 244 ," 16,430 ", 67 ,,,,,
25, 347 ," 16,612 ", 47 , 233 ," 12,664 ", 54 , 183 ," 1,470 ", 8 , 244 ," 1,969 ", 8 , 244 ," 2,912 ", 11 , 244 ," 4,751 ", 19 , 359 ," 18,209 ", 50 , 247 ," 15,825 ", 64 ,,,,,
26, 347 ," 15,558 ", 44 , 234 ," 13,061 ", 55 , 234 ," 2,053 ", 8 , 244 ," 1,881 ", 7 , 244 ," 4,212 ", 17 , 244 ," 3,906 ", 16 , 348 ," 17,459 ", 50 , 244 ," 15,799 ", 64 ,,,,,
27,348 ,"16,144 ",46 ,235 ,"13,339 ",56 ,235 ,"2,887 ",12 ,244 ,"1,315 ",5 ,244 ,"3,719 ",15 ,244 ,"4,296 ",17 ,360 ,"19,234 ",53 ,244 ,"16,801 ",68 ,,,,,
28,347 ,"15,653 ",45 ,244 ,"13,214 ",54 ,183 ,"2,634 ",14 ,244 ,"1,309 ",5 ,244 ,"3,257 ",13 ,244 ,"3,345 ",13 ,359 ,"21,302 ",59 ,244 ,"19,437 ",80 ,,,,,
29,347 ,"15,490 ",44 ,235 ,"12,652 ",53 ,183 ,"1,424 ",7 ,244 ,"1,323 ",5 ,244 ,"3,162 ",12 ,244 ,"4,364 ",17 ,359 ,"23,957 ",66 ,244 ,"25,556 ",104 ,,,,,
30,347 ,"27,411 ",79 ,244 ,"11,973 ",49 ,183 ,"2,223 ",12 ,244 ,"1,444 ",6 ,244 ,"2,776 ",11 ,244 ,"3,806 ",16 ,359 ,"28,368 ",79 ,244 ,"20,336 ",83 ,,,,,
令和元年度,348 ,"13,831 ",40 ,244 ,"11,036 ",45 ,183 ,"1,585 ",9 ,244 ,"1,205 ",5 ,244 ,"3,284 ",13 ,244 ,"3,791 ",16 ,360 ,"21,794 ",61 ,244 ,"17,531 ",72 ,,,,,
２,318 ,"8,912 ",28 ,215 ,"9,184 ",43 ,183 ,"1,368 ",7 ,215 ,899 ,4 ,215 ,"2,063 ",10 ,215 ,"2,215 ",10 ,330 ,"18,863 ",57 ,215 ,"14,669 ",68 ,,,,,
３,347 ,"8,757 ",25 ,244 ,"10,781 ",44 ,183 ,"2,694 ",15 ,244 ,"1,117 ",5 ,244 ,"2,824 ",12 ,244 ,"2,777 ",11 ,359 ,"21,827 ",61 ,244 ,"17,849 ",73 ,,,,,
　資料　スポーツ振興課,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）１　北野田公園アリーナおよびテニスコートは、平成18年11月１日から供用開始した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　  　　２　スポパークかわべは、グランド整備状況により営業日が異なる。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,各年度間,,,,,,,,,,,
年度,雄和体育館,,,雄和南体育館,,,雄和新波野球場,,,花の森野球場,,,花の森テニスコート,,,雄和Ｂ＆Ｇ海洋センター,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,"開場日数
（日）",利用者数（人),,,,,,,,,,,,
,,総数,1日平均,,総数,1日平均,,総数,1日平均,,総数,1日平均,,総数,1日平均,,総数,1日平均,,,,,,,,,,,
平成24年度, 347 ," 22,752 ", 65 , 346 ," 5,613 ", 16 , 244 ," 2,244 ", 9 , 244 ," 9,123 ", 37 , 244 ," 4,976 ", 20 , 59 ," 2,668 ", 45 ,,,,,,,,,,,
25, 347 ," 19,964 ", 57 , 347 ," 4,592 ", 13 , 244 ," 1,162 ", 4 , 244 ," 8,734 ", 35 , 244 ," 4,718 ", 19 , 60 ," 2,303 ", 38 ,,,,,,,,,,,
26, 347 ," 19,016 ", 54 , 347 ," 4,009 ", 11 , 244 ," 1,073 ", 4 , 244 ," 6,022 ", 24 , 244 ," 8,527 ", 34 , 60 ," 1,971 ", 32 ,,,,,,,,,,,
27,348 ,"9,774 ",28 ,348 ,"4,963 ",14 ,244 ,"1,163 ",4 ,244 ,"4,975 ",20 ,244 ,"7,751 ",31 ,59 ,"2,085 ",35 ,,,,,,,,,,,
28,347 ,"15,453 ",45 ,347 ,"4,374 ",13 ,244 ,"1,767 ",7 ,244 ,"5,250 ",22 ,244 ,"5,686 ",23 ,60 ,"1,749 ",29 ,,,,,,,,,,,
29,347 ,"15,608 ",44 ,347 ,"4,040 ",11 ,244 ,"1,284 ",5 ,244 ,"4,977 ",20 ,244 ,"5,329 ",21 ,－ ,－ ,－ ,,,,,,,,,,,
30,347 ,"15,558 ",45 ,347 ,"3,923 ",11 ,244 ,622 ,3 ,244 ,"5,130 ",21 ,244 ,"6,831 ",28 ,－ ,－ ,-,,,,,,,,,,,
令和元年度,348 ,"14,911 ",43 ,348 ,"3,027 ",9 ,244 ,815 ,3 ,244 ,"5,196 ",21 ,244 ,"5,518 ",23 ,－ ,－ ,-,,,,,,,,,,,
２,318 ,"10,506 ",33 ,318 ,"3,073 ",10 ,215 ,583 ,3 ,215 ,"4,127 ",19 ,215 ,"4,618 ",21 ,－ ,－ ,-,,,,,,,,,,,
３,347 ,"10,851 ",31 ,347 ,"6,202 ",18 ,244 ,"1,059 ",4 ,244 ,"5,233 ",21 ,244 ,"7,258 ",30 ,－ ,－ ,-,,,,,,,,,,,
　資料　スポーツ振興課,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）３　雄和Ｂ＆Ｇ海洋センターは平成31年4月1日をもって廃止となった。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　４　スポーツ振興課所管体育施設は、令和２年４月12日から５月10日まで新型コロナウイルス感染症の影響により閉鎖した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
